order,window_id,run_slug,family,sequence,stratum,arm,method,cell_status,expected_feature_messages,feature_messages,frontend_coverage,max_features,frontend_integrity_pass,image_messages,imu_messages,proxy_messages,exported_xfeat_observations,exported_splg_observations,persistence_replaced_gftt_observations,dropped_classical_for_cap_observations,kept_sidecar_observations,churn_guard_decision,churn_guard_decision_frame,feature_bag_path,feature_bag_sha256,frontend_metrics_path,frontend_metrics_sha256,prepared_input_path,prepared_input_sha256,all_three_bags_byte_identical,pairwise_byte_identity,failure_class,notes
4,aqualoc_archaeology:A02:0000,a02_0_900,aqualoc_archaeology,A02,challenge_gt_0p10,splg,hybrid_superpoint_lightglue,PASS,450,450,1.000000000,350,true,0,9046,46,0,50,0,50,50,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a02_0_900_splg/features.bag,adadab2fe4aa3d4960a7216f39abc43c7abe5213cdcc0c23988ca964fd25b12a,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a02_0_900_splg/frontend_metrics.csv,3807b132b77916d615723833a0f6efd89d391dcb2b3326873f1450e4c91a67d9,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a02_0_900/input.bag,ab0fa69eddce3bde6cb03efecf3c4fcafdd3d66e53691b9a2eaa1f531ee660db,false,klt=xfeat_v3,,
4,aqualoc_archaeology:A02:0000,a02_0_900,aqualoc_archaeology,A02,challenge_gt_0p10,xfeat_v3,hybrid_xfeat,PASS,450,450,1.000000000,350,true,0,9046,46,0,0,0,0,0,0,2,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a02_0_900_xfeat_v3/features.bag,5ebe451810a735ee37b40f244aca0162e37e398e2f5de13d76222d3d1e616520,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a02_0_900_xfeat_v3/frontend_metrics.csv,e76fcddfed4914fbcefc57b3dc2756f2019ce0e415e35d35e67a11126e683e78,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a02_0_900/input.bag,ab0fa69eddce3bde6cb03efecf3c4fcafdd3d66e53691b9a2eaa1f531ee660db,false,klt=xfeat_v3,,
5,aqualoc_archaeology:A03:0000,a03_0_900,aqualoc_archaeology,A03,challenge_gt_0p10,klt,klt,PASS,450,450,1.000000000,350,true,0,9045,46,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a03_0_900_klt/features.bag,ec3c2852d9b6af72d32adf80320889133c559d721e12626ae042fc05f363c5ce,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a03_0_900_klt/frontend_metrics.csv,8f1fa88596ce56c73ec2000234f511854642f8543758bce5e077cecb68f88eef,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a03_0_900/input.bag,c10958f6a05af1cbffeed85af842c17e9d92292bc6e2142cc0fc14672602cb37,true,klt=splg|klt=xfeat_v3|splg=xfeat_v3,,
5,aqualoc_archaeology:A03:0000,a03_0_900,aqualoc_archaeology,A03,challenge_gt_0p10,splg,hybrid_superpoint_lightglue,PASS,450,450,1.000000000,350,true,0,9045,46,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a03_0_900_splg/features.bag,ec3c2852d9b6af72d32adf80320889133c559d721e12626ae042fc05f363c5ce,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a03_0_900_splg/frontend_metrics.csv,b4186bdd401623f4c3a985c55ef860a8542e312b36bbdc5b4b51c73c9a500487,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a03_0_900/input.bag,c10958f6a05af1cbffeed85af842c17e9d92292bc6e2142cc0fc14672602cb37,true,klt=splg|klt=xfeat_v3|splg=xfeat_v3,,
5,aqualoc_archaeology:A03:0000,a03_0_900,aqualoc_archaeology,A03,challenge_gt_0p10,xfeat_v3,hybrid_xfeat,PASS,450,450,1.000000000,350,true,0,9045,46,0,0,0,0,0,0,4,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a03_0_900_xfeat_v3/features.bag,ec3c2852d9b6af72d32adf80320889133c559d721e12626ae042fc05f363c5ce,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a03_0_900_xfeat_v3/frontend_metrics.csv,9ed2c51b97ea28f3ff09f4ea762e20b5f24537bc918d2d753e934502075c1cee,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a03_0_900/input.bag,c10958f6a05af1cbffeed85af842c17e9d92292bc6e2142cc0fc14672602cb37,true,klt=splg|klt=xfeat_v3|splg=xfeat_v3,,
6,aqualoc_archaeology:A04:0006,a04_5400_6300,aqualoc_archaeology,A04,noharm_le_0p10,klt,klt,PASS,450,450,1.000000000,350,true,0,9091,42,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a04_5400_6300_klt/features.bag,695f090d920cc749839dd5a53b4a7eced5ffcb3b5fb7baf144c05fcfb73a60b4,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a04_5400_6300_klt/frontend_metrics.csv,a75593c817adc977727c7680514802f57149dc8ea400365bd0e1492eb7ab0fef,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a04_5400_6300/input.bag,0d2d504302e677f17715174b87ad7d1f7c85838f7393fb5cc46a63ab870f8b3b,false,klt=xfeat_v3,,
6,aqualoc_archaeology:A04:0006,a04_5400_6300,aqualoc_archaeology,A04,noharm_le_0p10,splg,hybrid_superpoint_lightglue,PASS,450,450,1.000000000,350,true,0,9091,42,0,50,0,50,50,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a04_5400_6300_splg/features.bag,b021a811992a495e9c0b6867cbf4c202cddafad23350bb43ac382788dbdd00fd,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a04_5400_6300_splg/frontend_metrics.csv,54bbbc5bf6b57132da4a2bfd335028877253d4ee8e601a291670e9cfdba8221f,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a04_5400_6300/input.bag,0d2d504302e677f17715174b87ad7d1f7c85838f7393fb5cc46a63ab870f8b3b,false,klt=xfeat_v3,,
6,aqualoc_archaeology:A04:0006,a04_5400_6300,aqualoc_archaeology,A04,noharm_le_0p10,xfeat_v3,hybrid_xfeat,PASS,450,450,1.000000000,350,true,0,9091,42,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a04_5400_6300_xfeat_v3/features.bag,695f090d920cc749839dd5a53b4a7eced5ffcb3b5fb7baf144c05fcfb73a60b4,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a04_5400_6300_xfeat_v3/frontend_metrics.csv,13c136da6c3444724abe566f0d2cde3ea328393710561b1f5e2192b107c8f95c,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a04_5400_6300/input.bag,0d2d504302e677f17715174b87ad7d1f7c85838f7393fb5cc46a63ab870f8b3b,false,klt=xfeat_v3,,
7,aqualoc_archaeology:A07:0007,a07_6300_7200,aqualoc_archaeology,A07,noharm_le_0p10,klt,klt,PASS,450,450,1.000000000,350,true,0,9091,43,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a07_6300_7200_klt/features.bag,d63a8ddd0de4375c7ac4dd5cd83ae076f42fbe3079bf50a747c807ea5b97d633,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a07_6300_7200_klt/frontend_metrics.csv,9c7f8cde866b14a860f29f259935ab35c746f2de6803183f2f60675ca2c646b5,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a07_6300_7200/input.bag,c0c8f249513070889e72c979e8d38b03e67d7912667021f8f503e80e7f70ae8d,false,klt=xfeat_v3,,
7,aqualoc_archaeology:A07:0007,a07_6300_7200,aqualoc_archaeology,A07,noharm_le_0p10,splg,hybrid_superpoint_lightglue,PASS,450,450,1.000000000,350,true,0,9091,43,0,50,0,50,50,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a07_6300_7200_splg/features.bag,261b95cd759f511d3ce34b945e280cff0d909a87b0207427dc1aeeb50cf8fe7d,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a07_6300_7200_splg/frontend_metrics.csv,9f1591e9b95772d45ff7a3c2c71e4d127fbc1ffcfe87fb73d94c15d5d6febad8,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a07_6300_7200/input.bag,c0c8f249513070889e72c979e8d38b03e67d7912667021f8f503e80e7f70ae8d,false,klt=xfeat_v3,,
7,aqualoc_archaeology:A07:0007,a07_6300_7200,aqualoc_archaeology,A07,noharm_le_0p10,xfeat_v3,hybrid_xfeat,PASS,450,450,1.000000000,350,true,0,9091,43,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a07_6300_7200_xfeat_v3/features.bag,d63a8ddd0de4375c7ac4dd5cd83ae076f42fbe3079bf50a747c807ea5b97d633,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a07_6300_7200_xfeat_v3/frontend_metrics.csv,546e2646f342446d8f12082d6712579ab2f01beb53c8ce6e6cb26254073b7a7c,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a07_6300_7200/input.bag,c0c8f249513070889e72c979e8d38b03e67d7912667021f8f503e80e7f70ae8d,false,klt=xfeat_v3,,
8,aqualoc_archaeology:A08:0003,a08_2700_3600,aqualoc_archaeology,A08,noharm_le_0p10,klt,klt,PASS,450,450,1.000000000,350,true,0,9091,46,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a08_2700_3600_klt/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a08_2700_3600_klt/frontend_metrics.csv,000411f59026a1ba6b2d80e5848e74bc910431cdd0a9da4fac8fcf0b4123a695,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a08_2700_3600/input.bag,81f248d14a336fbd2c1f9309e84fe818da892f2de3ab434b1df475707b133deb,false,klt=xfeat_v3,,
8,aqualoc_archaeology:A08:0003,a08_2700_3600,aqualoc_archaeology,A08,noharm_le_0p10,splg,hybrid_superpoint_lightglue,PASS,450,450,1.000000000,350,true,0,9091,46,0,50,0,50,50,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a08_2700_3600_splg/features.bag,536c5ceadfcd0f6b2439b973320fd6d14132e8328411b20ff0209aee840263b0,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_superpoint_lightglue_every2_fsbccv3_a08_2700_3600_splg/frontend_metrics.csv,927a4066ea1e43c1814a2b67dead3835fac701ba81a5ccb822100eeb79fa56fc,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a08_2700_3600/input.bag,81f248d14a336fbd2c1f9309e84fe818da892f2de3ab434b1df475707b133deb,false,klt=xfeat_v3,,
8,aqualoc_archaeology:A08:0003,a08_2700_3600,aqualoc_archaeology,A08,noharm_le_0p10,xfeat_v3,hybrid_xfeat,PASS,450,450,1.000000000,350,true,0,9091,46,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a08_2700_3600_xfeat_v3/features.bag,17305db38262a2ed4c7fa05b6269c9ea50592de07387517dfec798cf086ceae9,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_hybrid_xfeat_every2_fsbccv3_a08_2700_3600_xfeat_v3/frontend_metrics.csv,50bb233f5b809d9e9d3b2bd02844ba4b8d917b868ba39dba7ffd96e1525065f5,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a08_2700_3600/input.bag,81f248d14a336fbd2c1f9309e84fe818da892f2de3ab434b1df475707b133deb,false,klt=xfeat_v3,,
9,aqualoc_archaeology:A10:0012,a10_10800_11700,aqualoc_archaeology,A10,challenge_gt_0p10,klt,klt,PASS,450,450,1.000000000,350,true,0,9092,46,0,0,0,0,0,-1,-1,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a10_10800_11700_klt/features.bag,cc6848755ccea87208e10ec9c13f22bad9e6848040f0343b61cf6c7e65e13b43,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/shadow_root/logs/aqualoc_archaeo_vins/external_klt_every2_fsbccv3_a10_10800_11700_klt/frontend_metrics.csv,7b1eb868885c1aeb9824a423c602669139589517580bdd8e3c89a350bf32defc,/media/ma/Data/AQUA-FE_WS_storage_offload/frontend_same_backend_confirmatory_v3/prepared/a10_10800_11700/input.bag,d798f4f46cfbc7f2095fad1247f37fc4e3eef7425f2999990e023c68bd9e6f22,false,klt=xfeat_v3,,
