run_id,registry_event_id,recorded_at,supersedes_event_id,protocol_version,method_profile,stage,dataset_family,sequence,window_start,window_end,texture_stratum,split_role,arm,arm_version,arm_applicability,applicability_rule,frontend_seed,backend_replay,accepted_lineage_count,active,selection_active,candidate_pool_hash,frame_chain_hash,selection_hash,status,replay_evaluable,replay_hard_failure,window_arm_hard_failure,any_repeat_hard_failure,init_failure,full_coverage,algorithm_hard_failure,solver_risk,window_arm_solver_risk,queue_drop_rate,sustained_queue_drop,infrastructure_failure,replacement_for,run_dir,command_file,input_hash_manifest,output_hash_manifest,notes
isj-nativeq-v3_P07_aqualoc_harbor-H05_1800-2700_B1_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_aqualoc_harbor-H05_1800-2700_B1_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,B1_klt_nativeq_v3,P07_FRONTEND_EXPORT,aqualoc_harbor,H05,1800,2700,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,B1_klt_nativeq_v3,nativeq-v3,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,logs/aqualoc_real_vins/external_klt_every2_isj_p07_aqualoc_harbor_h05_0002_b1_attempt01,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=9; window_id=aqualoc_harbor:H05:0002; tag=isj_p07_aqualoc_harbor_h05_0002_b1_attempt01; command_sha256=cf462163745fb5aeb02e86ac85b393ef7d262b807148e094f332123ef1c26b59; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_ntnu-fjord_6_45-90_M_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_ntnu-fjord_6_45-90_M_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,M_xfeat_pairwise_nativeq_v1,P07_FRONTEND_EXPORT,ntnu,fjord_6,45,90,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,M_xfeat_pairwise_nativeq_v1,xfeat-pairwise-nativeq-v1,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,logs/ntnu_vins/external_xfeat_every2_isj_p07_ntnu_fjord_6_0001_m_attempt01,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=10; window_id=ntnu:fjord_6:0001; tag=isj_p07_ntnu_fjord_6_0001_m_attempt01; command_sha256=d0c0a97c6de04385927eeab28d682b41fbe84a0d82b97e7e48b2def5c044889c; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_ntnu-fjord_6_45-90_P_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_ntnu-fjord_6_45-90_P_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,P07_FRONTEND_EXPORT,ntnu,fjord_6,45,90,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,P_legacy_nativeq_xfeat_seedchain_v3,actual-v3,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=11; window_id=ntnu:fjord_6:0001; tag=isj_p07_ntnu_fjord_6_0001_p_attempt01; command_sha256=19b57112674a8a28bb4ead90c0e7acec6903fe98d931d526be220528e30ccc53; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_ntnu-fjord_6_45-90_B1_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_ntnu-fjord_6_45-90_B1_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,B1_klt_nativeq_v3,P07_FRONTEND_EXPORT,ntnu,fjord_6,45,90,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,B1_klt_nativeq_v3,nativeq-v3,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,logs/ntnu_vins/external_klt_every2_isj_p07_ntnu_fjord_6_0001_b1_attempt01,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=12; window_id=ntnu:fjord_6:0001; tag=isj_p07_ntnu_fjord_6_0001_b1_attempt01; command_sha256=f6a4f2bd71fd5f369e5c33a75edeaad943291ea12df2d055022c6d068cf8513b; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_aqualoc_harbor-H06_0-900_B1_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_aqualoc_harbor-H06_0-900_B1_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,B1_klt_nativeq_v3,P07_FRONTEND_EXPORT,aqualoc_harbor,H06,0,900,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,B1_klt_nativeq_v3,nativeq-v3,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,logs/aqualoc_real_vins/external_klt_every2_isj_p07_aqualoc_harbor_h06_0000_b1_attempt01,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=13; window_id=aqualoc_harbor:H06:0000; tag=isj_p07_aqualoc_harbor_h06_0000_b1_attempt01; command_sha256=2bd559beaf400a7c7c96c6e42d0743941bf8b2e81f79881001593a709d067517; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_aqualoc_harbor-H06_0-900_M_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_aqualoc_harbor-H06_0-900_M_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,M_xfeat_pairwise_nativeq_v1,P07_FRONTEND_EXPORT,aqualoc_harbor,H06,0,900,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,M_xfeat_pairwise_nativeq_v1,xfeat-pairwise-nativeq-v1,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,logs/aqualoc_real_vins/external_xfeat_every2_isj_p07_aqualoc_harbor_h06_0000_m_attempt01,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=14; window_id=aqualoc_harbor:H06:0000; tag=isj_p07_aqualoc_harbor_h06_0000_m_attempt01; command_sha256=5c677a820a09537a09d68206e74441010f5ca490da7ffabdaad6760a4bdb7130; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_aqualoc_harbor-H06_0-900_P_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_aqualoc_harbor-H06_0-900_P_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,P07_FRONTEND_EXPORT,aqualoc_harbor,H06,0,900,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,P_legacy_nativeq_xfeat_seedchain_v3,actual-v3,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=15; window_id=aqualoc_harbor:H06:0000; tag=isj_p07_aqualoc_harbor_h06_0000_p_attempt01; command_sha256=ccf39e560328e23c5419fa0201867f21af1951bc976bbeaa4aedec9eae18244d; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_ntnu-fjord_6_90-135_B1_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_ntnu-fjord_6_90-135_B1_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,B1_klt_nativeq_v3,P07_FRONTEND_EXPORT,ntnu,fjord_6,90,135,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,B1_klt_nativeq_v3,nativeq-v3,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,logs/ntnu_vins/external_klt_every2_isj_p07_ntnu_fjord_6_0002_b1_attempt01,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=16; window_id=ntnu:fjord_6:0002; tag=isj_p07_ntnu_fjord_6_0002_b1_attempt01; command_sha256=8bd3d76d1a5f86710bdc1595ddc8a39955a18db77b30889ba8c28e90b6d010fe; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_ntnu-fjord_6_90-135_P_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_ntnu-fjord_6_90-135_P_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,P07_FRONTEND_EXPORT,ntnu,fjord_6,90,135,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,P_legacy_nativeq_xfeat_seedchain_v3,actual-v3,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=17; window_id=ntnu:fjord_6:0002; tag=isj_p07_ntnu_fjord_6_0002_p_attempt01; command_sha256=fb2cdc96177bbfa06d97ae5a97737c2de0cd68babb5421d6d10d69b90aec43cd; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_ntnu-fjord_6_90-135_M_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_ntnu-fjord_6_90-135_M_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,M_xfeat_pairwise_nativeq_v1,P07_FRONTEND_EXPORT,ntnu,fjord_6,90,135,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,M_xfeat_pairwise_nativeq_v1,xfeat-pairwise-nativeq-v1,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,logs/ntnu_vins/external_xfeat_every2_isj_p07_ntnu_fjord_6_0002_m_attempt01,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=18; window_id=ntnu:fjord_6:0002; tag=isj_p07_ntnu_fjord_6_0002_m_attempt01; command_sha256=130ddb5478fab628def6db688fd9994b0066b6daf7d2b023f62d95b4bd54e9d1; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_aqualoc_archaeology-A03_900-1800_P_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_aqualoc_archaeology-A03_900-1800_P_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,P_legacy_nativeq_xfeat_seedchain_v3,P07_FRONTEND_EXPORT,aqualoc_archaeology,A03,900,1800,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,P_legacy_nativeq_xfeat_seedchain_v3,actual-v3,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=19; window_id=aqualoc_archaeology:A03:0001; tag=isj_p07_aqualoc_archaeology_a03_0001_p_attempt01; command_sha256=fa6a061a43586802cc3ec44e86c5eab4f1d51ab6b788a3005775fdc670a53fbd; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_aqualoc_archaeology-A03_900-1800_M_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_aqualoc_archaeology-A03_900-1800_M_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,M_xfeat_pairwise_nativeq_v1,P07_FRONTEND_EXPORT,aqualoc_archaeology,A03,900,1800,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,M_xfeat_pairwise_nativeq_v1,xfeat-pairwise-nativeq-v1,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a03_0001_m_attempt01,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=20; window_id=aqualoc_archaeology:A03:0001; tag=isj_p07_aqualoc_archaeology_a03_0001_m_attempt01; command_sha256=811c288dd04319108a63f10d30c898850b039699205caf35080bf3cdc709bdf0; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_aqualoc_archaeology-A03_900-1800_B1_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_aqualoc_archaeology-A03_900-1800_B1_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,B1_klt_nativeq_v3,P07_FRONTEND_EXPORT,aqualoc_archaeology,A03,900,1800,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,B1_klt_nativeq_v3,nativeq-v3,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a03_0001_b1_attempt01,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=21; window_id=aqualoc_archaeology:A03:0001; tag=isj_p07_aqualoc_archaeology_a03_0001_b1_attempt01; command_sha256=466bdada140670ef7ff816aa1613d3ab0ffeb7672d382e69a813c24c0c83f53b; frontend export only; trajectory outcome not read
isj-nativeq-v3_P07_ntnu-fjord_6_135-180_M_f0_b00_20260806T084500Z,isj-nativeq-v3_P07_ntnu-fjord_6_135-180_M_f0_b00_20260806T084500Z_e00,2026-08-06T16:45:00+08:00,,isj-nativeq-v3-confirmatory-protocol-v1,M_xfeat_pairwise_nativeq_v1,P07_FRONTEND_EXPORT,ntnu,fjord_6,135,180,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,M_xfeat_pairwise_nativeq_v1,xfeat-pairwise-nativeq-v1,REQUIRED,ALWAYS,0,b00,,,,,,,PLANNED,false,,,,,,,,,,,,,logs/ntnu_vins/external_xfeat_every2_isj_p07_ntnu_fjord_6_0003_m_attempt01,papers/ieee_sensors_journal_experiments/p07/frontend_export_queue_v1.csv,papers/ieee_sensors_journal_experiments/dataset_checksum_manifest.txt,,queue_index=22; window_id=ntnu:fjord_6:0003; tag=isj_p07_ntnu_fjord_6_0003_m_attempt01; command_sha256=85c3dfb8463d37f7aebda7c4d655458e05a661713713e2ebcc2e0c150773bb72; frontend export only; trajectory outcome not read
