dataset_family,sequence,start,end,window_unit,prior_artifact_count,prior_learned_seen,prior_vins_seen,prior_parameter_use,allowed_role,evidence_paths,decision_reason
afrl,cemetery_fl,080,399,second,9,true,false,true,DEVELOPMENT_ONLY,logs/low_texture_window_search_20260522.md:14;logs/multidataset/afrl_cemetery_fl_080_319_hybrid.csv;logs/multidataset/afrl_cemetery_fl_080_319_hybrid_xfeat_continuity_first_v2.csv;logs/multidataset/afrl_cemetery_fl_080_319_hybrid_xfeat_final.csv;logs/multidataset/afrl_cemetery_fl_080_319_hybrid_xfeat_gridquota.csv;logs/multidataset/afrl_cemetery_fl_080_319_klt.csv;logs/qgeo_eval/afrl_cemetery_fl_080_319_qgeo_calib.csv;scripts/build_p02_audit.py:583;scripts/run_p02_development_screening.sh:72,Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,089,181,second,1,false,false,false,DEVELOPMENT_ONLY,logs/opt_eval/underwater_classical_rescue/smoke_afrl_fl_089_092.csv,Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,10,80,second,13,true,false,false,DEVELOPMENT_ONLY,logs/agent_non_a06_frontend_20260518/raw/afrl_fl_10_70_10_70_full_xfeat_loftr.csv;logs/agent_non_a06_frontend_20260518/raw/afrl_fl_10_70_10_70_full_xfeat_loftr.log;logs/agent_non_a06_frontend_20260518/raw/afrl_fl_10_70_10_70_klt_adaptive_clahe.csv;logs/agent_non_a06_frontend_20260518/raw/afrl_fl_10_70_10_70_klt_adaptive_clahe.log;logs/agent_non_a06_frontend_20260518/raw/afrl_fl_10_70_10_70_loftr_extreme_sp_lg.csv;logs/agent_non_a06_frontend_20260518/raw/afrl_fl_10_70_10_70_loftr_extreme_sp_lg.log;logs/agent_non_a06_frontend_20260518/raw/afrl_fl_10_70_10_70_normal_safe_sp_lg.csv;logs/agent_non_a06_frontend_20260518/raw/afrl_fl_10_70_10_70_normal_safe_sp_lg.log;logs/agent_non_a06_frontend_20260518/report.md:26;logs/agent_non_a06_frontend_20260518/report.md:48;logs/agent_non_a06_frontend_20260518/report.md:49;logs/agent_non_a06_frontend_20260518/report.md:50;...(+1),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,100,230,second,98,true,true,false,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt:1;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt:10;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt:11;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt:12;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt:13;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt:14;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt:15;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt:16;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt:17;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_fullraw_afrl_bus_fl_100_130_xfeat_safe/ape.txt:18;...(+86),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,110,140,second,11,true,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/features.bag;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/frontend_metrics.csv;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/replay_manifest.txt;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/replay_manifest.txt:1;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/replay_manifest.txt:2;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/replay_manifest.txt:3;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/replay_manifest.txt:4;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/replay_manifest.txt:5;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/replay_manifest.txt:6;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_110_30/vins_afrl_cave_external.yaml,Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,110,240,second,17,true,true,false,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_may26_cont_bus_fl_110_130_loftr_export/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_may26_cont_bus_fl_110_130_loftr_export/features.bag;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_may26_cont_bus_fl_110_130_loftr_export/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_superpoint_lightglue_every2_may26_cont_bus_fl_110_130_loftr_export/vins_afrl_cave_external.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_cont_bus_fl_110_130_xfeat_export/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_cont_bus_fl_110_130_xfeat_export/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_cont_bus_fl_110_130_xfeat_export/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_cont_bus_fl_110_130_xfeat_export/vins_afrl_cave_external.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_scan_bus_fl_110_130_xfeat_safe_w20/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_scan_bus_fl_110_130_xfeat_safe_w20/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_scan_bus_fl_110_130_xfeat_safe_w20/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may26_scan_bus_fl_110_130_xfeat_safe_w20/vins_afrl_cave_external.yaml;...(+5),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,110,250,second,460,true,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/replay_manifest.txt;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/replay_manifest.txt:1;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/replay_manifest.txt:2;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/replay_manifest.txt:3;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/replay_manifest.txt:4;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/replay_manifest.txt:5;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/replay_manifest.txt:6;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_110_140/vins_afrl_cave_external.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcscan_cem_fl_110_140/afrl_cave_cam0_pinhole.yaml;...(+448),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,140,170,second,11,true,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/features.bag;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/frontend_metrics.csv;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/replay_manifest.txt;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/replay_manifest.txt:1;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/replay_manifest.txt:2;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/replay_manifest.txt:3;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/replay_manifest.txt:4;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/replay_manifest.txt:5;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/replay_manifest.txt:6;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_140_30/vins_afrl_cave_external.yaml,Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,140,300,second,181,true,true,false,DEVELOPMENT_ONLY,logs/afrl_cemetery_v31/afrl_fl_140_160_evidence_summary.csv;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/afrl_cave_cam0_pinhole.yaml;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/ape.txt;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/ape.txt:1;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/ape.txt:10;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/ape.txt:11;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/ape.txt:12;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/ape.txt:13;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/ape.txt:14;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/ape.txt:15;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/ape.txt:16;logs/afrl_cemetery_v31/external_klt_every1_formal150_fl_140_160/ape.txt:17;...(+169),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,140,310,second,18,true,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/features.bag;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/frontend_metrics.csv;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/replay_manifest.txt;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/replay_manifest.txt:1;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/replay_manifest.txt:2;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/replay_manifest.txt:3;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/replay_manifest.txt:4;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/replay_manifest.txt:5;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/replay_manifest.txt:6;logs/afrl_cave_v31/external_hybrid_xfeat_every2_may28_srcdiag_cem_fl_140_170/vins_afrl_cave_external.yaml;logs/afrl_cave_v31/external_hybrid_xfeat_every3_may19_screen_afrl_fl_140_170_xfeat_strictgrid076/afrl_cave_cam0_pinhole.yaml;...(+6),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
afrl,cemetery_fl,170,200,second,16,true,true,true,DEVELOPMENT_ONLY,logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/afrl_cave_cam0_pinhole.yaml;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/features.bag;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/frontend_metrics.csv;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/replay_manifest.txt;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/replay_manifest.txt:1;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/replay_manifest.txt:2;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/replay_manifest.txt:3;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/replay_manifest.txt:4;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/replay_manifest.txt:5;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/replay_manifest.txt:6;logs/afrl_cave_v31_may28_source_audit/external_hybrid_xfeat_every2_may28_srcaudit_fl_170_30/vins_afrl_cave_external.yaml;正反例窗口整理/反例窗口说明.md:272;...(+4),Prior artifact or parameter/search reference found before P02 freeze; exclude exact window from confirmatory denominator.
